Codigo	Armazem	Descricao
RZFES02908	07	CIMENTO CP II 50 KG
RZFES02989	01	LIXA DAGUA 1200
RZFES02989	07	LIXA DAGUA 1200
RZFES03050	01	PREGO 18 X 27
RZFES03050	07	PREGO 18 X 27
RZFES03067	07	REGADOR 10 LT FUZIL
RZFES03102	01	CABO PARA CAVADEIRA
RZFES03119	01	LIXA FERRO 100
RZFES03119	07	LIXA FERRO 100
RZFES03123	01	ROLO ESPUMA 5 CM ATLAS
RZFES03399	07	PINO ENGATE CARRETA AGRICOLA 1 X 200 MM ROC 4 5MTS
SERES00348	01	MANUTENCAO DE VEICULO
SERES00409	01	TINTA ACRIL SEMI BRILHO BRANCO NEVE 3 6L
SERES00409	07	TINTA ACRIL SEMI BRILHO BRANCO NEVE 3 6L
SERES00584	01	CREMALHEIRA 1 5 MTS
SERES00584	07	CREMALHEIRA 1 5 MTS
SERES00663	07	RODA MACICA 12
SERES00709	01	PORTA LAPIS
SERES00709	07	PORTA LAPIS
SERES00729	01	CIMENTO 50KG
SERES00729	07	CIMENTO 50KG
SERES00740	01	CLORO LIQUIDO 5 LTS
SERES00740	07	CLORO LIQUIDO 5 LTS
SERES00742	01	BOM AR
SERES00742	07	BOM AR
SERES00762	07	MASSA CORRIDA
SERES00779	01	SABAO EM PO
SERES00779	07	SABAO EM PO
SERES00783	01	DESENCRUSTANTE MERCOTEC C 5LTS
SERES00783	07	DESENCRUSTANTE MERCOTEC C 5LTS
SERES00811	01	COLA BRANCA 1LT
SERES00811	07	COLA BRANCA 1LT
SERES00816	01	DESINFETANTE LIQ
SERES00816	07	DESINFETANTE LIQ
SERES00818	01	ESSENCIA DE EUCALIPTO
SERES00818	07	ESSENCIA DE EUCALIPTO
SERES00823	01	DESINFETANTE 5LTS CONCENTRADO LAVANDA
SERES00823	07	DESINFETANTE 5LTS CONCENTRADO LAVANDA
SERES00847	07	CANALETA 20X12X2000
SERES00866	01	FILME PVC
SERES00866	07	FILME PVC
SERES00915	01	PA PARA LIXO PLASTICA PEQUENA
SERES00915	07	PA PARA LIXO PLASTICA PEQUENA
SERES00946	01	ABRACADEIRAS
SERES00946	07	ABRACADEIRAS
SERES01018	01	EMBALAGEM PLASTICA
SERES01020	01	PALITO DE DENTE
SERES01020	07	PALITO DE DENTE
SERES01046	01	PAPEL HIGIENICO
SERES01046	07	PAPEL HIGIENICO
SERES01049	01	GUARDANAPO
SERES01049	07	GUARDANAPO
SERES01062	01	LIVRO ATA 200 FOLHAS
SERES01062	07	LIVRO ATA 200 FOLHAS
SERES01068	01	CADERNO
SERES01068	07	CADERNO
SERES01068	11	CADERNO
SERES01129	07	CRACHA
SERES01253	01	TRAPO COSTURADO
SERES01253	07	TRAPO COSTURADO
SERES01266	01	MASCARA DESCARTAVEL EM TNT
SERES01266	07	MASCARA DESCARTAVEL EM TNT
SERES01358	07	BOTA COURO COM BIQUEIRA DE ACO
SERES01474	01	LIXA
SERES01474	07	LIXA
SERES01481	01	TELHA FIBROCIMENTO
SERES01481	07	TELHA FIBROCIMENTO
SERES01505	01	PA ANTI FAISCANTE
SERES01505	10	PA ANTI FAISCANTE
