codmat	dscmat	codund_mda_mat	vlrult_cot	saldo_oper
90689	LACO PREF DISTR ACO-ZN ROLD 8,65-9,70MM 615MM AMR COX	UN	3,18	37
90696	LACO PREF DISTR ACO-ZN TOPO 10,30-11,55MM 720MM AZL COX	UN	4,7324	6
90698	LACO PREF DISTR ACO-ZN TOPO 13,10-14,65MM 800MM VRM COX	UN	4,12	69
90699	LACO PREF DISTR ACO-ZN TOPO 16,20-18,15MM 840MM VRD COX	UN	7,3353	42
90701	LACO PREF DISTR ACO-ZN TOPO 17,40-19,30MM 880MM AMR COX	UN	8,7914	39
90693	LACO PREF DISTR ACO-ZN TOPO 5,70-6,45MM 635MM LRJ COX	UN	3,2381	33
90694	LACO PREF DISTR ACO-ZN TOPO 7,30-8,20MM 700MM VRM COX	UN	2,87	820
90695	LACO PREF DISTR ACO-ZN TOPO 9,15-10,25MM 750MM AMR COX	UN	3,22	486
90771	LACO PREF DISTR LIGA-AL LAT DUPL 7,30-8,20MM 430MM VRM COX	UN	8,1364	10
90772	LACO PREF DISTR LIGA-AL LAT DUPL 9,15-10,25MM 430MM AMR COX	UN	34,5	3
90737	LACO PREF DISTR LIGA-AL ROLD 13,50-14,50MM 500MM PRT COX	UN	3,5208	19
90745	LACO PREF DISTR LIGA-AL TOPO 13,10-14,65MM 800MM VRM COX	UN	5,8325	38
90746	LACO PREF DISTR LIGA-AL TOPO 16,20-18,15MM 840MM VRD COX	UN	5,9214	168
90741	LACO PREF DISTR LIGA-AL TOPO 7,30-8,20MM 700MM VRM COX	UN	3,36	121
90742	LACO PREF DISTR LIGA-AL TOPO 9,15-10,25MM 750MM AMR COX	UN	3,08	21
37928	LACRE SEG. POLICARBONATO AZUL	UN	0,63	88
90511	LAMINA DESLIGADORA COBR EST 11.4/13.8KV 300A BS C	PC	97,8332	7
10252	LUVA DE PVC PRETA DE 1	PC	0,8	203
